"資料集提供機關","資料集名稱","瀏覽次數","下載次數","資料集評分"
"台灣自來水股份有限公司","台灣自來水公司中止廢止或極低用水量之用戶數","669","70",""
"經濟部工業局","機器人創意競賽參賽資料","367","30",""
"財政部中區國稅局","財政部中區國稅局電子公文統計彙總表","270","36",""
"台灣中油股份有限公司","台灣中油股份有限公司_天然氣(NG1)安全資料表","331","30",""
"經濟部中央地質調查所","97～100年度西南海域底拖側掃聲納調查","238","9",""
"經濟部工業局","再生能源-風力發電產業年投資總額","324","43",""
"經濟部中央地質調查所","104年水文地質鑽探岩心紀錄","438","73","1.0"
"台灣中油股份有限公司","台灣中油股份有限公司_天然氣(NG2)安全資料表","288","28",""
"經濟部中央地質調查所","104年水文地質鑽探井下自然電位","282","44",""
"經濟部中央地質調查所","104年水文地質鑽探井下16吋電阻","233","30",""
"經濟部中央地質調查所","104年水文地質鑽探井下64吋電阻","219","28",""
"經濟部中央地質調查所","104年水文地質鑽探井下自然伽瑪","227","31",""
"台灣中油股份有限公司","台灣中油股份有限公司_人力資源處訓練所_圖書出版資訊","390","28","5.0"
"經濟部中央地質調查所","精密水準測量報告","333","42",""
"台灣中油股份有限公司","台灣中油股份有限公司_人力資源處訓練所_場地出租資訊","307","27",""
"台灣中油股份有限公司","台灣中油股份有限公司_人力資源處訓練所_學員房間訂房資訊","312","25","1.0"
"經濟部中央地質調查所","新竹斷層活動斷層地質敏感區劃定計畫書","325","23",""
"經濟部加工出口區管理處","楠梓園區待租售廠房資訊","179","12",""
"經濟部中央地質調查所","新城斷層活動斷層地質敏感區劃定計畫書","271","35",""
"經濟部加工出口區管理處","楠梓第二園區待租售廠房資訊","172","12",""
"台灣中油股份有限公司","台灣中油股份有限公司_人力資源處訓練所_開課資訊","317","34",""
"經濟部中央地質調查所","新化斷層活動斷層地質敏感區劃定計畫書","261","34",""
"經濟部加工出口區管理處","高雄軟體園區待租售辦公室資訊","315","11",""
"經濟部中央地質調查所","大尖山斷層活動斷層地質敏感區劃定計畫書","249","22",""
"經濟部中央地質調查所","鹿野斷層活動斷層地質敏感區劃定計畫書","279","21",""
"台灣中油股份有限公司","台灣中油股份有限公司_中油大樓國光會議廳暨一樓各場地收費標準表","448","23",""
"經濟部中央地質調查所","三義斷層活動斷層地質敏感區劃定計畫書","295","32",""
"經濟部加工出口區管理處","楠梓園區及第二園區建築及景觀預審規範","262","10",""
"教育部技術及職業教育司","技專校院產學合作績效及學校研發能量","358","49",""
"經濟部加工出口區管理處","高雄軟體園區固網業者資訊","231","15",""
"經濟部工業局","2016鐙烜獎獲獎名單","253","20",""
"台灣中油股份有限公司","台灣中油股份有限公司_中油綠色生技產品履歷","306","19",""
"經濟部加工出口區管理處","高軟園區重點產業廠商明細","192","19",""
"經濟部中央地質調查所","斷層整合性觀測與潛勢分析計畫(3/4)報告書","216","37",""
"經濟部工業局","金屬產業情報","452","49",""
"財政部高雄國稅局","財政部高雄國稅局菸酒稅廠商家數統計表","266","21",""
"經濟部加工出口區管理處","加工出口區進出口貿易額統計_國家別","227","33",""
"經濟部中央地質調查所","活動斷層近地表構造特性調查","194","82",""
"經濟部加工出口區管理處","本處所轄各園區動產擔保交易登記統計表","166","11",""
"台灣中油股份有限公司","台灣中油股份有限公司_中油加油站油品品質抽驗月報表","244","25",""
"經濟部加工出口區管理處","楠梓園區年度勞工育樂活動","198","11",""
"經濟部中央地質調查所","活動斷層補充地質調查","226","24",""
"經濟部加工出口區管理處","高雄加工出口區性別工作平等委員會設置要點","158","10",""
"經濟部中央地質調查所","集水區地形及地質調查成果查詢系統推廣說明會_系統操作","346","28",""
"台灣中油股份有限公司","台灣中油股份有限公司_愛車如何決定要加那種汽油","250","36",""
"經濟部中央地質調查所","蘭陽溪及其鄰近流域地質圖編製成果及臺灣常見地質敏感環境","318","24",""
"經濟部加工出口區管理處","高雄園區年度勞工育樂活動","160","17",""
"經濟部中央地質調查所","蘭陽溪及其鄰近流域山崩與土石流調查成果說明","252","22",""
"經濟部加工出口區管理處","臺中加工出口區性別工作平等會設置要點","169","141",""
"台灣中油股份有限公司","台灣中油股份有限公司_汽油小常識","207","24",""
"經濟部中央地質調查所","蘭陽溪流域山崩潛勢評估方法與成果說明","268","46",""
"經濟部中央地質調查所","蘭陽溪流域坡地穩定性調查評估成果及應用","226","21",""
"經濟部標準檢驗局","機械類驗證登錄證書資料集","236","15",""
"經濟部標準檢驗局","玩具類驗證登錄證書資料集","303","20",""
"經濟部標準檢驗局","耐燃建材類驗證登錄證書資料集","360","21",""
"經濟部標準檢驗局","個人防護具類驗證登錄證書資料集","209","10",""
"經濟部標準檢驗局","照明燈具類驗證登錄證書資料集","324","11",""
"經濟部標準檢驗局","輪胎類驗證登錄證書資料集","320","12",""
"經濟部標準檢驗局","塑膠管類驗證登錄證書資料集","268","17",""
"經濟部標準檢驗局","護目鏡手套類驗證登錄證書資料集","589","13",""
"經濟部中央地質調查所","蘭陽溪流域河相特性及其演變分析","311","24",""
"經濟部中央地質調查所","芭瑪、梅姬颱風後蘭陽溪土砂治理策略之研究","354","23",""
"經濟部中央地質調查所","集水區土砂搬運堆積與地形地質影響因子之探討_2011","253","13",""
"經濟部中央地質調查所","集水區地形及地質資料庫建置成果介紹","451","73",""
"經濟部中央地質調查所","流域山崩潛勢評估方法與成果說明","295","36",""
"法務部矯正署","矯正署臺南第二監獄分決算(按年)","220","8",""
"臺灣糖業股份有限公司","台灣糖業公司_休憩事業部旅館及遊憩景區環境資訊","303","19",""
"臺灣糖業股份有限公司","台灣糖業公司_量販食品業者登錄字號彙集","460","23",""
"臺灣糖業股份有限公司","台灣糖業公司_研究所固定資產購置","237","13",""
"臺灣糖業股份有限公司","台灣糖業公司_研究所糖業圖書館","380","18",""
"臺灣糖業股份有限公司","台灣糖業公司_屏東區處造林面積","307","22",""
"臺灣糖業股份有限公司","台灣糖業公司_屏東區處景觀植栽樹種","385","22",""
"臺灣糖業股份有限公司","台灣糖業公司_安全農產驗證通過資訊","357","13",""
"臺灣糖業股份有限公司","台灣糖業公司_休憩事業部據點AED資料","295","25",""
"經濟部加工出口區管理處","臺中園區待租售廠房資訊","156","18",""
"經濟部加工出口區管理處","臺中園區年度勞工育樂活動","237","9",""
"經濟部加工出口區管理處","中港園區各業別投資金額","238","16",""
"經濟部加工出口區管理處","中港園區廠商海關監管資訊","270","20",""
"經濟部加工出口區管理處","加工出口區中港園區性別工作平等委員會設置要點","218","13",""
"經濟部加工出口區管理處","中港園區土地出租圖資資料","335","21",""
"經濟部專業人員研究中心","經濟部專業人員研究中心_學員綜合滿意度統計表","199","12",""
"經濟部加工出口區管理處","中港園區年度勞工育樂活動","259","12",""
"經濟部加工出口區管理處","屏東園區年度勞工育樂活動","238","17",""
"經濟部加工出口區管理處","屏東園區歷年各項採購案件","241","13",""
"經濟部加工出口區管理處","屏東園區待租售廠房資訊","205","9",""
"經濟部加工出口區管理處","加工出口區屏東園區性別工作平等委員會設置要點","221","13",""
"經濟部商業司","動產擔保交易公示登記清冊(月份)","815","268",""
"經濟部商業司","動產擔保交易公示註銷清冊(月份)","417","143",""
"經濟部商業司","動產擔保交易登記統計-動產抵押及總擔保債權額(民100年迄今)","233","23",""
"經濟部商業司","公司登記(依營業項目別)－殯葬禮儀服務業","222","38",""
"經濟部商業司","動產擔保交易登記統計-附條件買賣及總擔保債權額(民100年迄今)","289","19",""
"經濟部商業司","商業登記(依營業項目別)－餐館業","617","118",""
"經濟部商業司","公司登記(依營業項目別)－不動產仲介經紀業","417","54",""
"經濟部商業司","動產擔保交易登記統計-信託占有及總擔保債權額(民100年迄今)","299","23",""
"經濟部商業司","動產擔保交易公示變更清冊(月份)","428","161",""
"經濟部商業司","商業登記(依營業項目別)－飲料店業","842","149",""
"經濟部商業司","公司登記(依營業項目別)－移民服務業","421","41",""
"經濟部商業司","全國前500大公司資料集","898","228",""
"經濟部商業司","公司登記(依營業項目別)－不動產代銷經紀業","394","41",""
"經濟部商業司","公司登記(依營業項目別)－建築物清潔服務業","603","61",""
"經濟部能源局","年度列管能源用戶名單—生產性質行業","623","88",""
"經濟部投資業務處","我國在東協各國投資統計表","567","183","5.0"
"經濟部能源局","年度列管能源用戶名單—非生產性質行業","590","88",""
"經濟部能源局","推動能源教育績優學校名單","280","12",""
"彰化縣環境保護局","彰化縣機車排氣檢驗站一覽表","315","31",""
"彰化縣環境保護局","彰化縣充電站(對外開放充電)列表","509","43",""
"經濟部能源局","國民小學節約能源戲劇競賽得獎學校名單","316","3",""
"經濟部能源局","石油基金對民間團體及個人補捐助案件彙總表","286","52",""
"經濟部能源局","能源研究發展基金對民間團體及個人補捐助案件彙總表","297","44",""
"經濟部能源局","經濟部能源局(含石油基金、能源研究發展基金及再生能源發展基金)於平面媒體、網路媒體、廣播媒體及電視媒體辦理政策宣導之相關廣告明細表","455","68",""
"財政部臺北國稅局","財政部臺北國稅局營業稅申報家數統計表 ","271","15",""
"財政部臺北國稅局","財政部臺北國稅局營業稅簡易服務櫃台各單位處理件數統計表","273","11",""
"經濟部礦務局","礦務局_礦區圖標準製圖習用符號及圖例","304","19",""
"經濟部礦務局","礦務局_「探礦、開採構想書及其圖說」製作格式須知","312","15",""
"經濟部礦務局","礦務局_依法辦妥工廠登記或使用地已取得同意變更編定之砂石碎解洗選場","813","203",""
"經濟部礦務局","礦務局_坡地土石採取許可區統計表","486","108","1.0"
"經濟部礦務局","礦務局_爆炸物管理員處分統計","215","10",""
"經濟部礦務局","礦務局_爆破專業人員處分統計","309","13",""
"經濟部礦務局","礦務局_露天礦場安管人員培養訓練班別及人數","343","14",""
"經濟部礦務局","礦務局_石油及天然氣安管人員在職訓練班別及人數","299","14",""
"經濟部能源局","辦理石油管理法相關業務各直轄市、縣(市)政府承辦單位","275","10",""
"經濟部能源局","民營油料管線事業防災工作檢查表","303","13",""
"經濟部能源局","石油輸入各油品來源國別統計表","345","33",""
"經濟部水利署","地下水水位歷年統計","685","235","5.0"
"經濟部水利署","地下水水位觀測井井況","1436","397","4.5"
"經濟部水利署","水利署哺乳類調查資料","368","85","5.0"
"經濟部水利署","水利署鳥類調查資料","432","131","5.0"
"經濟部水利署","水利署植物調查資料","330","116","5.0"
"經濟部水利署","中央管水門","499","87","5.0"
"經濟部水利署","水源保育與回饋計畫執行成果經費統計(鄉鎮市區公所)","505","167","5.0"
"經濟部水利署","水資源投資分析資料","459","135","5.0"
"經濟部水利署","地下水觀測井位置圖_現存","740","163","5.0"
"經濟部水利署","水庫基本資料","548","193","5.0"
"經濟部水利署","水庫淤積量","1246","372","5.0"
"經濟部水利署","水庫營運","560","199","5.0"
"經濟部水利署","水利署所屬雨量站基本資料","1325","449","5.0"
"經濟部水利署","中央管河川河堤","673","157","5.0"
"經濟部水利署","中央管海堤","572","119","3.66666679382"
"經濟部水利署","中央管排水","874","223","5.0"
"經濟部水利署","曾文水庫即時水情資訊","5967","366","3.33333320618"
"經濟部水利署","阿公店水庫即時水情資訊","710","151","5.0"
"經濟部水利署","牡丹水庫即時水情資訊","640","139","5.0"
"桃園市政府觀光旅遊局","桃園市101年每月觀光遊憩區遊客人次資料","359","318",""
"桃園市政府觀光旅遊局","桃園市100年每月觀光遊憩區遊客人次資料","302","210",""
"桃園市政府觀光旅遊局","桃園市102年每月觀光遊憩區遊客人次資料","425","437",""
"臺中市政府社會局‧長青福利科","長青福利服務-臺中市老人福利服務中心","284","22",""
"財政部臺北國稅局","財政部臺北國稅局全功能櫃台作業處理件數統計表","287","18",""
"行政院主計總處","歷年教育程度別失業率","438","111",""
"行政院主計總處","歷年非勞動力之未參與勞動原因","276","38",""
"行政院主計總處","歷年年齡組別失業率","476","140",""
"行政院主計總處","歷年失業者按初次尋職者與非初次尋職者分","275","17",""
"行政院主計總處","歷年失業者之教育程度","241","33",""
"行政院主計總處","歷年失業者之平均失業週數","281","25",""
"行政院主計總處","歷年失業者之年齡","250","27",""
"行政院主計總處","各業廠商調降經常性薪資參考各項因素之廠商比率－按行業分","283","25",""
"行政院主計總處","各業廠商調整員工經常性薪資之廠商與員工人數比率－按行業分","360","42",""
"行政院主計總處","各業廠商調整員工經常性薪資之廠商與員工人數比率－按公民營與民營事業單位規模分","278","18",""
"行政院主計總處","各業廠商調升經常性薪資參考各項因素之廠商比率－按行業分","309","34",""
"行政院主計總處","各業廠商均無調薪參考各項因素之廠商比率－按行業分","306","16",""
"行政院主計總處","各業受僱員工經常性薪資計薪方式之人數比率－按行業分","320","53",""
"經濟部","經濟部資通安全處理小組設置要點","320","21",""
"行政院主計總處","各業受僱員工經常性薪資計薪方式之人數比率－按公民營與民營事業單位規模分","262","17",""
"財政部南區國稅局","財政部南區國稅局全功能櫃台作業處理件數統計表","245","14",""
"財政部南區國稅局","財政部南區國稅局扣免繳申報統計表","244","19",""
"財政部南區國稅局","財政部南區國稅局營業稅申報家數統計表","275","14",""
"財政部南區國稅局","財政部南區國稅局訴願以上處理情形統計表（年）","254","9",""
"財政部南區國稅局","財政部南區國稅局遺產稅核定徵免件數統計表","312","22","3.0"
"財政部高雄國稅局","財政部高雄國稅局復查案件處理情形統計表","239","12",""
"經濟部中小企業處","創新中小企業高質成長計畫輔導成果","280","12",""
"財政部臺北國稅局","財政部臺北國稅局復查案件處理情形統計表","387","69",""
"財政部臺北國稅局","財政部臺北國稅局訴願以上案件處理情形統計表","379","82",""
"財政部北區國稅局","財政部北區國稅局103年度扣免繳申報收件統計表","241","10",""
"財政部中區國稅局","財政部中區國稅局土地明細清冊","367","22",""
"公平交易委員會","公平交易委員會性別平等專案小組105年第2次會議紀錄","328","12",""
"行政院公共工程委員會","註銷拒絕往來廠商","451","51",""
"行政院公共工程委員會","以科別分類查詢有效之執業技師","462","40","1.0"
"行政院公共工程委員會","前1年度得標外國政府採購案件統計","289","14",""
"行政院人事行政總處公務人力發展中心","行政院人事行政總處公務人力發展中心性騷擾申訴處理調查小組委員資料","266","16",""
"臺中市政府資訊中心","臺中市道路寬度","527","67",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局105年全功能服務櫃台服務件數統計表","280","21",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局105年厝邊服務要您好稅服務件數統計表","279","10",""
"臺中市政府交通局‧運輸管理科第一股","臺中市車輛偵測器設備位置","505","71",""
"臺中市政府交通局‧運輸管理科第一股","臺中市路段靜態資訊","3665","125","5.0"
"臺中市政府交通局‧運輸管理科第一股","臺中市交通影像靜態資訊","461","60",""
"臺中市政府交通局‧運輸管理科第一股","臺中市平均旅行時間動態資料","513","58",""
"臺中市政府交通局‧運輸管理科第一股","臺中市平均旅行時間靜態資料","443","29",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局104年全功能服務櫃台服務件數統計表","234","14",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局104年份厝邊服務要您好稅服務件數統計表","267","11",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局104年厝邊服務要您好稅視訊服務站意見調查報告","267","11",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局104年厝邊服務要您好稅巡迴服務站意見調查報告","227","13",""
"臺中市政府警察局‧行政科","臺中市警察服務據點","274","61",""
"經濟部能源局","經濟部能源局_合格用電設備檢驗維護業資料","381","31","4.0"
"經濟部能源局","優良太陽光電系統(光鐸獎)得獎名單","393","25",""
"經濟部能源局","再生能源推動政策","433","45",""
"考選部","考選部105年5月份單位預算會計月報(XML)","384","10",""
"經濟部能源局","再生能源現況資訊","479","65","2.0"
"經濟部能源局","能源專案知識物件","410","67",""
"經濟部能源局","全國能源會議背景資訊","261","19",""
"經濟部能源局","能源資訊相關報導","341","18",""
"臺灣港務股份有限公司","花蓮港觀光郵輪預報表(依年別)","370","38",""
"國家圖書館","遠距學園課程名稱","216","35",""
"蒙藏委員會","蒙藏委員會資料開放諮詢小組委員名冊","326","25",""
"蒙藏委員會","蒙藏藝文活動明細表","401","25",""
"臺灣港務股份有限公司","花蓮港進出港船舶噸位資料(依年別)","298","12",""
"臺灣港務股份有限公司","花蓮港貨物裝卸量(依年別)","356","13",""
"臺灣港務股份有限公司","花蓮港旅客人數(依年別)","266","21",""
"交通部臺灣區國道新建工程局","國道新建工程局104年國道視窗","213","13",""
"法務部矯正署","國定古蹟嘉義舊監獄網站","316","478",""
"外交部領事事務局","外交部領事事務局會計月報","459","440",""
"外交部領事事務局","度假打工(青年交流)","529","362",""
"桃園市政府消防局","桃園市消防水源統計","342","48","5.0"
"桃園市政府觀光旅遊局","桃園市步道調查資料(含KML軌跡檔)","1482","1897",""
"臺中市政府警察局‧行政科","臺中市106年4月份十大易肇事路段(口)","305","47",""
"臺中市政府社會局‧長青福利科","災害救助物資庫存","307","31",""
"臺中市政府社會局‧長青福利科","全國性身心障礙福利基金會","267","14",""
"新北市政府衛生局","新北市乳房攝影檢查認證機構","393","87",""
"新北市政府環境保護局","新北市電動車充電站","627","72",""
"財政部中區國稅局","財政部中區國稅局扣免繳申報收件統計表","282","82",""
"財政部中區國稅局","財政部中區國稅局遺產稅核定徵免件數統計表","280","88",""
"財政部臺北國稅局","財政部臺北國稅局菸酒稅廠商家數統計表","252","18",""
"財政部南區國稅局","財政部南區國稅局復查案件處理情形統計表","349","89",""
"法官學院","法官學院104年度單位決算","349","25",""
"法官學院","法官學院105年度會計月報","270","45",""
"財政部中區國稅局","財政部中區國稅局全功能櫃台作業處理件數統計表","300","103",""
"財政部中區國稅局","財政部中區國稅局線上申辦案件辦理情形統計表","337","72",""
"經濟部中小企業處","綠色環保新知","345","8",""
"經濟部中小企業處","綠色環保課程講義","340","8",""
"經濟部中小企業處","綠色環保課程資訊","279","12",""
"經濟部中小企業處","中小企業榮譽律師基本資料","346","20",""
"交通部高速鐵路工程局","高鐵局104年度公務決算","365","28",""
"交通部高速鐵路工程局","高鐵延人公里","376","31","5.0"
"交通部高速鐵路工程局","高鐵車站數","393","40",""
"技術處","產學研價值創造計畫補助計畫","476","102",""
"財政部法制處","租稅法令彙編釋示函令","363","32",""
"財政部中區國稅局","財政部中區國稅局復查案件處理情形統計表","277","97",""
"財政部中區國稅局","財政部中區國稅局政風室受理公職人員財產申報人數及抽籤比例統計表","378","110",""
"財政部中區國稅局","財政部中區國稅局訴願以上處理情形統計表","237","98",""
"民政司","受委託遊說者備案名冊","270","32",""
"民政司","中央各機關遊說窗口","228","16","4.0"
"財政部中區國稅局","財政部中區國稅局菸酒稅廠商家數統計表","381","212",""
"中央研究院","中央研究院會計月報","366","12",""
"行政院環境保護署","特殊性工業區即時監測值資料檔 (一般空氣污染物)","616","164",""
"戶政司","15歲以上現住原住民人口數按性別、原住民身分及教育程度分","405","128",""
"戶政司","結婚人數按性別、年齡、原屬國籍（地區）及教育程度分","618","231",""
"戶政司","15歲以上現住人口按性別、年齡、婚姻狀況及教育程度分","570","213",""
"戶政司","嬰兒出生數按生母原屬國籍（地區）、年齡及教育程度分","469","178",""
"戶政司","現住原住民人口按性別、年齡","572","483",""
"戶政司","戶長按性別、年齡、及教育程度","446","123",""
"戶政司","離婚人數按男女雙方年齡、原屬國籍（地區）及教育程度分","489","181",""
"戶政司","人口死亡數按死亡者性別、單一年齡及五歲年齡組分","414","210",""
"行政院環境保護署","特殊性工業區即時監測值資料檔 (氣象監測項目)","408","89",""
"行政院環境保護署","特殊性工業區測站資訊","505","164","5.0"
"外交部","國際合作發展事務報告","489","325",""
"外交部","外交部赴國合會業務查核意見辦理情形表","445","78",""
"外交部","財團法人國際合作發展基金會政府遴派人員相關資訊","315","12",""
"教育部國際及兩岸教育司","外國僑民學校通訊一覽表","284","24",""
"教育部國際及兩岸教育司","Schools for International Residents in ROC","219","30",""
"教育部國際及兩岸教育司","海外臺灣學校各校班級數、學生人數、教師人數","204","33",""
"教育部國際及兩岸教育司","各年度華語文能力測驗考生人數","182","17",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局103年度歲出決算表 ","199","9",""
"臺中市政府地方稅務局‧企劃服務科規劃設計股","臺中市政府地方稅務局105年度歲出預算表","212","11",""
"臺中市政府法制局‧秘書室","臺中市政府訴願收辦案件統計","234","16",""
"臺中市政府法制局‧秘書室","臺中市政府法規審議及研商成果統計","214","12",""
"臺灣宜蘭地方法院","臺灣宜蘭地方法院105年度6月份會計月報","278","29",""
"戶政司","離婚人數按離婚者雙方原屬國籍(地區)分","432","428",""
"戶政司","動態資料統計表","870","656",""
"戶政司","現住原住民人口按性別、身分、原住民族別分","627","678",""
"戶政司","結婚人數按結婚者雙方原屬國籍(地區)分","477","407",""
"戶政司","村里戶數、單一年齡人口","3592","2713",""
"戶政司","現住人口數按性別及原住民身分分","502","426",""
"戶政司","遷入遷出統計表","913","697",""
"台灣電力股份有限公司","台灣電力公司_汽電共生購電實績","730","230","5.0"
"台灣電力股份有限公司","台灣電力公司_太陽光電購電實績","2254","497","2.33333339691"
"台灣電力股份有限公司","台灣電力公司_風力購電實績","1220","403",""
"台灣電力股份有限公司","台灣電力公司_水力購電實績","480","58",""
"法務部司法官學院","犯罪重要統計指標","527","115",""
"交通部高速鐵路工程局","104年度交通部高速鐵路工程局單位分決算","233","12",""
"臺灣臺東地方法院","臺灣臺東地方法院105年6月份會計月報(XML)","233","11",""
"教育部國際及兩岸教育司","各大學校院附設華語文教學中心一覽表","221","25",""
"國史館","國史館105年6月會計月報","258","37",""
"桃園國際機場股份有限公司","桃園國際機場客運量年統計","255","17",""
"桃園國際機場股份有限公司","桃園國際機場第一航廈各單位服務電話","282","16",""
"桃園國際機場股份有限公司","桃園國際機場第二航廈各單位服務電話","302","16",""
"教育部國際及兩岸教育司","各年大學校院附設華語文中心外國學生人數統計表-按國別","287","20",""
"教育部國際及兩岸教育司","各年大學校院附設華語文中心外國學生人數統計表-按校別","289","22",""
"教育部國際及兩岸教育司","教育部國內大專校院選送學生出國研修或國外專業實習計畫審核結果公告","199","76",""
"教育部國際及兩岸教育司","世界各主要國家之我國留學生人數統計表","621","114",""
"教育部國際及兩岸教育司","我國學生赴主要留學國家留學簽證人數統計表","369","93","1.0"
"行政院農業委員會","105年度「行政院農業委員會資料開放諮詢小組」委員名單","349","33",""
"桃園國際機場股份有限公司","桃園國際機場航機架次年統計","295","20",""
"桃園國際機場股份有限公司","桃園國際機場航空公司及航廈別","347","16",""
"桃園國際機場股份有限公司","桃園國際機場進口貨量年統計","265","11",""
"桃園國際機場股份有限公司","桃園國際機場出口貨量年統計","259","11",""
"桃園國際機場股份有限公司","桃園國際機場轉口貨量年統計","223","14",""
"桃園國際機場股份有限公司","桃園國際機場進出轉口貨運量年統計","244","21",""
"桃園國際機場股份有限公司","桃園國際機場郵件進出口貨量年統計","265","13",""
"桃園國際機場股份有限公司","桃園國際機場入境客運量年統計","375","29","1.0"
"桃園國際機場股份有限公司","桃園國際機場出境客運量年統計","338","31",""
"臺灣桃園地方法院","臺灣桃園地方法院105年6月份會計報告","237","27",""
"臺灣高等法院花蓮分院","臺灣高等法院花蓮分院105年度6月份會計月報","232","6",""
"臺灣高等法院花蓮分院","臺灣高等法院花蓮分院105年度5月份會計月報","199","8",""
"國家發展委員會","政府資料開放諮詢小組委員名單","404","44",""
"原住民族委員會","原住民族委員會單位預算105年03月份會計月報","324","24",""
"原住民族委員會","原住民族委員會單位預算105年04月份會計月報","458","27",""
"原住民族委員會","原住民族委員會單位預算105年05月份會計月報","445","35",""
"衛生福利部國民健康署","審查通過之新生兒聽力篩檢院所名單","281","22",""
"原住民族委員會","原住民族委員會資料開放諮詢小組第二次會議紀錄","766","83",""
"交通部中央氣象局","一年觀測資料-本局屬地面測站一年觀測資料","1885","666","4.5"
"交通部中央氣象局","定量降水預報格點資料-陸上颱風警報期間台灣地區定量降水格點預報","453","66",""
"新北市政府農業局","新北市動保處愛心認養小棧合作店家","472","41",""
"新北市政府農業局","105年度狂犬病預防注射簽約動物醫院","295","30",""
"臺中市政府警察局‧行政科","臺中市政府警察局公務人員－按性別及年齡別","192","12",""
"臺中市政府警察局‧行政科","臺中市政府警察局公務人員－按職等別","295","25",""
"臺中市政府警察局‧行政科","臺中市政府警察局公務人員－按學歷別","222","18",""
"臺灣新竹地方法院","臺灣新竹地方法院105年5月會計月報","277","8",""
"勞動部勞動力發展署","辦理製造業雇主定期查核統計資料","363","32",""
"臺銀人壽保險股份有限公司","臺銀人壽各險別之保費收入及保險給付","313","53",""
"財政部國有財產署","國有非公用財產目錄(署總表)","264","16",""
"財政部國有財產署","國有非公用財產目錄(分署表)","253","13",""
"行政院公共工程委員會","歷年延遲付款廠商通報案件數","340","12",""
"行政院公共工程委員會","施工查核缺失態樣","325","24",""
"新北市政府環境保護局","本市付費廣告欄設置地點一覽表","500","67",""
"新北市政府工務局","民間自行興闢道路及附屬設施「興闢計畫書」SOP","528","61",""
"新北市政府工務局","新北市政府受理民間自行興闢道路及附屬設施「興闢計畫書」變更設計作業流程說明","534","25",""
"新北市政府工務局","新北市政府受理民間自行興闢道路及附屬設施「興闢計畫書」施工管理及竣工點交作業流程","497","38",""
"國家發展委員會檔案管理局","Web公文製作系統電子報","302","19",""
"國家發展委員會檔案管理局","公文及檔案管理資訊系統驗證申請文件","247","20",""
"行政院主計總處","104年度中央政府總決算各機關歲入來源別決算分析總表","182","17",""
"行政院主計總處","104年度中央政府總決算各機關歲出政事別決算分析總表","179","14",""
"行政院主計總處","104年度中央政府總決算各機關歲出用途別決算分析總表","176","15",""
"行政院主計總處","104年度中央政府總決算收支簡明比較分析表","155","16",""
"行政院主計總處","104年度中央政府總決算歲入來源別決算總表","167","20",""
"行政院主計總處","104年度中央政府總決算歲入歲出簡明比較分析表","182","17",""
"行政院主計總處","104年度中央政府總決算歲出政事別決算總表","175","17",""
"行政院主計總處","104年度中央政府總決算歲出機關別決算總表","170","15",""
"行政院主計總處","104年度中央政府總決算附屬單位決算及綜計表(作業基金)","198","19",""
"行政院主計總處","104年度中央政府總決算附屬單位決算及綜計表(債務基金)","232","26",""
"行政院主計總處","104年度中央政府總決算附屬單位決算及綜計表(營業部分)","212","17",""
"行政院主計總處","104年度中央政府總決算附屬單位決算及綜計表(特別收入基金)","206","15",""
"行政院主計總處","104年度中央政府總決算附屬單位決算及綜計表(資本計畫基金)","193","9",""
"福建金門地方法院","福建金門地方法院105年度6月份會計月報","419","138","5.0"
"彰化縣政府社會處","彰化縣銀采瑞智友善認證單位","92","65",""
"法務部秘書處","104-06-國有財產增減表","214","59",""
"法務部秘書處","104-05-國有財產增減表","194","22",""
"臺灣花蓮地方法院","公告臺灣花蓮地方法院105年6月會計月報(XML檔)","189","5",""
"福建省政府","福建省政府105年6月份會計月報.XML","264","19",""
"金融監督管理委員會","會計師事務所經營概況","418","49",""
"金融監督管理委員會","會計師事務所從業員工薪資所得","393","62",""
"金融監督管理委員會","金融科技諮詢小組委員名單","246","22",""
"金融監督管理委員會","金管會動態訊息","229","12",""
"金融監督管理委員會","金管會施政計畫","253","14",""
"金融監督管理委員會","每一會計師事務所全年平均收入","413","57",""
"金融監督管理委員會","平均每一會計師事務所全年執行業務件數","330","23",""
"金融監督管理委員會","會計師事務所全年執行業務件數","321","33",""
"衛生福利部社會及家庭署","衛生福利部社會及家庭署105年度6月份會計月報","149","8",""
"臺中市政府環境保護局‧綜合計畫科資訊股","臺中市環境教育機構","164","11",""
"臺灣雲林地方法院","臺灣雲林地方法院105年6月份會計月報","184","6",""
"臺灣苗栗地方法院","臺灣苗栗地方法院105年6月會計報告.xml","188","9",""
"新北市政府衛生局","新北市子宮頸癌篩檢機構","259","63",""
"新北市政府警察局","新北市政府警察局執行家戶訪查發現及處理戶口(籍)案件成果","217","24",""
